market,timestamp,superlr,superlc,ddlr,ddlc,zdlr,zdlc,xdlr,xdlc
Overall Market,2016-02-04 02:00:44.924000,109.3802,-84.4894,276.0147,-264.7677,354.3654,-371.2793,273.2611,-292.4850
Overall Market,2016-02-04 06:05:22.055000,389.0293,-307.5869,925.8749,-915.8668,1201.5141,-1245.0576,922.1620,-970.0690
Overall Market,2016-02-04 07:25:24.071000,505.6112,-391.1082,1202.0975,-1166.9774,1543.6127,-1601.1439,1174.5463,-1266.6383
大盘资金流向(中小板),2016-02-04 07:26:01.340000,121.1673,-89.7392,298.6800,-289.5375,399.8790,-414.8473,310.5682,-336.1705
大盘资金流向(中小板),2016-02-04 02:01:35.960000,28.3929,-22.8484,73.3642,-68.5104,94.8751,-98.8105,73.9965,-80.4593
大盘资金流向(中小板),2016-02-04 06:05:09.950000,91.8210,-72.2480,230.8570,-227.3643,313.1208,-323.1294,245.3880,-258.4451
大盘资金流向(深市),2016-02-04 02:01:11.613000,66.2860,-53.6135,172.6497,-164.4542,222.8230,-231.9594,168.4238,-180.1555
大盘资金流向(深市),2016-02-04 06:01:00.979000,226.7682,-184.8130,558.4351,-557.0003,736.5594,-759.6774,558.2115,-578.4834
大盘资金流向(深市),2016-02-04 07:25:47.330000,297.5673,-233.2481,728.3200,-711.1230,949.2003,-982.9725,713.0908,-760.8349
大盘资金流向(沪市),2016-02-04 02:01:24.282000,44.3460,-31.6867,107.0539,-103.7329,135.9326,-143.9993,108.0325,-115.9461
大盘资金流向(沪市),2016-02-04 06:04:59.009000,159.3660,-120.7433,359.1492,-351.8404,455.2327,-474.7969,356.9798,-383.3470
大盘资金流向(沪市),2016-02-04 07:26:14.252000,208.0439,-157.8601,473.7775,-455.8545,594.4124,-618.1714,461.4556,-505.8033
大盘资金流向(创业板),2016-02-04 02:00:59.433000,13.7483,-11.5395,48.5407,-45.2140,64.2565,-65.8865,44.2990,-48.2046
大盘资金流向(创业板),2016-02-04 06:00:47.875000,54.1202,-44.1189,166.5074,-166.2198,220.7906,-226.7410,156.0079,-160.3464
大盘资金流向(创业板),2016-02-04 07:25:34.863000,70.5336,-56.1979,215.8944,-210.3336,283.3651,-292.2373,199.9306,-210.9548
